Designator,Mid X,Mid Y,Rotation,Layer
D1,88.10625,-47.625,0.0,top
D10,80.962501,-64.190908,0.0,top
D11,100.012501,-64.190908,0.0,top
D12,119.062501,-64.190908,0.0,top
D16,80.962501,-83.240908,0.0,top
D17,100.012501,-83.240908,0.0,top
D18,119.062501,-83.240908,0.0,top
D19,80.962501,-102.290908,0.0,top
D2,108.10875,-47.625,0.0,top
D20,100.012501,-102.290908,0.0,top
D21,119.062501,-102.290908,0.0,top
D3,127.15875,-47.625,180.0,top
D4,57.15,-78.58125,270.0,top
D5,61.9125,-78.58125,270.0,top
D6,66.675,-78.58125,270.0,top
D7,89.05875,-109.5375,0.0,top
D8,109.5375,-109.5375,0.0,top
D9,128.5875,-109.5375,0.0,top
R1,52.13125,-76.2,0.0,top
R2,52.13125,-80.9625,0.0,top
SW1,80.80375,-57.44125,0.0,top
SW17,59.425,-59.65,0.0,top
SW2,99.85375,-57.44125,0.0,top
SW3,118.90375,-57.44125,0.0,top
SW4,80.80375,-76.49125,0.0,top
SW5,99.85375,-76.49125,0.0,top
SW6,118.90375,-76.49125,0.0,top
SW7,80.80375,-95.54125,0.0,top
SW8,99.85375,-95.54125,0.0,top
SW9,118.903749,-95.5448,0.0,top
U1,59.53125,-97.63125,180.0,top
U2,42.8625,-88.9375,180.0,top
